test,source
SchemaValidator.ContinueOnErrors_UniqueItems,test/unittest/schematest.cpp:2853
SchemaValidator.ContinueOnErrors_Enum,test/unittest/schematest.cpp:2875
SchemaValidator.ContinueOnErrors_RogueArray,test/unittest/schematest.cpp:2894
SchemaValidator.ContinueOnErrors_RogueObject,test/unittest/schematest.cpp:2913
SchemaValidator.ContinueOnErrors_RogueString,test/unittest/schematest.cpp:2928
SchemaValidator.ContinueOnErrors_BadSimpleType,test/unittest/schematest.cpp:2950
SchemaValidator.UnknownValidationError,test/unittest/schematest.cpp:2977
SchemaValidator.DuplicateKeyword,test/unittest/schematest.cpp:2982
SchemaValidator.Schema_SupportedNotObject,test/unittest/schematest.cpp:3000
SchemaValidator.Schema_SupportedNoSpec,test/unittest/schematest.cpp:3011
SchemaValidator.Schema_SupportedNoSpecStatic,test/unittest/schematest.cpp:3022
SchemaValidator.Schema_SupportedDraft5Static,test/unittest/schematest.cpp:3033
SchemaValidator.Schema_SupportedDraft4,test/unittest/schematest.cpp:3044
SchemaValidator.Schema_SupportedDraft4NoFrag,test/unittest/schematest.cpp:3055
SchemaValidator.Schema_SupportedDraft5,test/unittest/schematest.cpp:3066
SchemaValidator.Schema_SupportedDraft5NoFrag,test/unittest/schematest.cpp:3077
SchemaValidator.Schema_IgnoreDraftEmbedded,test/unittest/schematest.cpp:3088
SchemaValidator.Schema_SupportedDraftOverride,test/unittest/schematest.cpp:3099
